wrapper  | --> Wrapper Started as Daemon
jvm 1    | 2018-01-26 15:27:07,452+0000 INFO  [jetty-main-1]  org.sonatype.security.configuration.source.FileSecurityConfigurationSource - Loading Security configuration from /home/prady/nexus-2.14.5-02/../sonatype-work/nexus/conf/security-configuration.xml
jvm 1    | 2018-01-26 15:27:07,486+0000 INFO  [jetty-main-1]  org.sonatype.sisu.ehcache.CacheManagerComponentImpl - Loading configuration from: file:/home/prady/nexus-2.14.5-02/nexus/WEB-INF/classes/ehcache.xml
jvm 1    | 2018-01-26 15:27:07,672+0000 INFO  [jetty-main-1]  com.thoughtworks.xstream.XStream - Version: 1.4.6-SONATYPE-03, white-list support available
jvm 1    | 2018-01-26 15:27:07,812+0000 INFO  [jetty-main-1]  org.sonatype.nexus.proxy.registry.DefaultRepositoryTypeRegistry - Registered default repository types.
jvm 1    | 2018-01-26 15:27:07,942+0000 INFO  [jetty-main-1]  org.sonatype.nexus.events.EventSubscriberHost - Initialized
jvm 1    | 2018-01-26 15:27:07,945+0000 INFO  [jetty-main-1]  org.sonatype.nexus.NxApplication - 
jvm 1    | -------------------------------------------------
jvm 1    | 
jvm 1    | Initializing Nexus Repository Manager OSS 2.14.5-02
jvm 1    | 
jvm 1    | -------------------------------------------------
jvm 1    | 2018-01-26 15:27:07,945+0000 INFO  [jetty-main-1]  org.sonatype.nexus.NxApplication - Activating locally installed plugins...
jvm 1    | 2018-01-26 15:27:12,498+0000 INFO  [jetty-main-1]  com.sun.jersey.server.impl.application.WebApplicationImpl - Initiating Jersey application, version 'Jersey: 1.17.1 02/28/2013 12:47 PM'
jvm 1    | 2018-01-26 15:27:14,735+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.bcprov.CryptoPlugin - Unlimited strength JCE policy detected
jvm 1    | 2018-01-26 15:27:17,943+0000 INFO  [jetty-main-1]  org.sonatype.nexus.kazuki.KazukiPlugin - Kazuki version: 0.1.8
jvm 1    | 2018-01-26 15:27:21,699+0000 INFO  [jetty-main-1]  org.sonatype.nexus.proxy.registry.DefaultRepositoryTypeRegistry - Registered Repository type RepositoryType=(org.sonatype.nexus.proxy.repository.WebSiteRepository:site).
jvm 1    | 2018-01-26 15:27:22,013+0000 INFO  [jetty-main-1]  org.sonatype.nexus.proxy.registry.DefaultRepositoryTypeRegistry - Registered Repository type RepositoryType=(org.sonatype.nexus.proxy.repository.GroupRepository:npm-group).
jvm 1    | 2018-01-26 15:27:22,013+0000 INFO  [jetty-main-1]  org.sonatype.nexus.proxy.registry.DefaultRepositoryTypeRegistry - Registered Repository type RepositoryType=(org.sonatype.nexus.proxy.repository.Repository:npm-hosted).
jvm 1    | 2018-01-26 15:27:22,013+0000 INFO  [jetty-main-1]  org.sonatype.nexus.proxy.registry.DefaultRepositoryTypeRegistry - Registered Repository type RepositoryType=(org.sonatype.nexus.proxy.repository.Repository:npm-proxy).
jvm 1    | 2018-01-26 15:27:22,336+0000 INFO  [jetty-main-1]  org.sonatype.nexus.proxy.registry.DefaultRepositoryTypeRegistry - Registered Repository type RepositoryType=(org.sonatype.nexus.proxy.repository.ShadowRepository:nuget-shadow).
jvm 1    | 2018-01-26 15:27:22,350+0000 INFO  [jetty-main-1]  org.sonatype.nexus.proxy.registry.DefaultRepositoryTypeRegistry - Registered Repository type RepositoryType=(org.sonatype.nexus.proxy.repository.GroupRepository:nuget-group).
jvm 1    | 2018-01-26 15:27:22,350+0000 INFO  [jetty-main-1]  org.sonatype.nexus.proxy.registry.DefaultRepositoryTypeRegistry - Registered Repository type RepositoryType=(org.sonatype.nexus.proxy.repository.Repository:nuget-proxy).
jvm 1    | 2018-01-26 15:27:24,545+0000 INFO  [jetty-main-1]  org.sonatype.nexus.proxy.registry.DefaultRepositoryTypeRegistry - Registered Repository type RepositoryType=(org.sonatype.nexus.proxy.repository.GroupRepository:rubygems-group).
jvm 1    | 2018-01-26 15:27:24,546+0000 INFO  [jetty-main-1]  org.sonatype.nexus.proxy.registry.DefaultRepositoryTypeRegistry - Registered Repository type RepositoryType=(org.sonatype.nexus.proxy.repository.Repository:rubygems-hosted).
jvm 1    | 2018-01-26 15:27:24,546+0000 INFO  [jetty-main-1]  org.sonatype.nexus.proxy.registry.DefaultRepositoryTypeRegistry - Registered Repository type RepositoryType=(org.sonatype.nexus.proxy.repository.Repository:rubygems-proxy).
jvm 1    | 2018-01-26 15:27:27,324+0000 INFO  [jetty-main-1]  org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-atlas-plugin:2.14.5-02" was successful.
jvm 1    | 2018-01-26 15:27:27,324+0000 INFO  [jetty-main-1]  org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-rrb-plugin:2.14.5-02" was successful.
jvm 1    | 2018-01-26 15:27:27,324+0000 INFO  [jetty-main-1]  org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-h2-plugin:2.14.5-02" was successful.
jvm 1    | 2018-01-26 15:27:27,324+0000 INFO  [jetty-main-1]  org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "com.sonatype.nexus.plugins:nexus-outreach-plugin:2.14.5-02" was successful.
jvm 1    | 2018-01-26 15:27:27,324+0000 INFO  [jetty-main-1]  org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-siesta-plugin:2.14.5-02" was successful.
jvm 1    | 2018-01-26 15:27:27,324+0000 INFO  [jetty-main-1]  org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-archetype-plugin:2.14.5-02" was successful.
jvm 1    | 2018-01-26 15:27:27,324+0000 INFO  [jetty-main-1]  org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-groovy-plugin:2.14.5-02" was successful.
jvm 1    | 2018-01-26 15:27:27,324+0000 INFO  [jetty-main-1]  org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-crypto-plugin:2.14.5-02" was successful.
jvm 1    | 2018-01-26 15:27:27,325+0000 INFO  [jetty-main-1]  org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-content-plugin:2.14.5-02" was successful.
jvm 1    | 2018-01-26 15:27:27,325+0000 INFO  [jetty-main-1]  org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-lvo-plugin:2.14.5-02" was successful.
jvm 1    | 2018-01-26 15:27:27,325+0000 INFO  [jetty-main-1]  org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-orient-plugin:2.14.5-02" was successful.
jvm 1    | 2018-01-26 15:27:27,325+0000 INFO  [jetty-main-1]  org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-webresources-plugin:2.14.5-02" was successful.
jvm 1    | 2018-01-26 15:27:27,325+0000 INFO  [jetty-main-1]  org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-site-repository-plugin:2.14.5-02" was successful.
